,rating,Reviews
0,5.0, Thank you very much  
2,1.0,Always wrong delivery!!!  How do you even train your staff? How could you even deliver wrong address every time????? Please train your worker!!!!!!!!
3,1.0, The delivery man is very bad. It's the worst transport.  
4,1.0, Please call the recipient and send it to the recipient's hand. …
5,5.0," I don't know what other people's are, but mine, 1 day, received items. Very fast delivery. …"
6,1.0, Where do  
7,1.0," At first the app said it was shipping. Call the center to ask and tell them it's in the warehouse. After a while, I called to say that I will send it to you today 2/2/65 A few minutes passed. say send failed Allow …"
8,1.0, It's been in Rattanathibet for a long time. will claim to open the new year But others can send it. Can you add staff? will be able to do more efficiently …
9,1.0, Delivered more than 2 days ago and still haven't received it. …
11,1.0,"I don’t like this ninja Van company delivery staff…. The staff should have common sense that the item is heavy or not… if the item is heavy, they need to put on the floor. Not inside the small basket… my small basket is already crooked, …"
12,1.0,Worst company I have dealt with.  delay in delivery.  Difficulty communicating with support
13,1.0, .2 This item is from another seller...just the wrong postcode...but only delivered to..Ninja..I just bounced back..... …
15,1.0, send past the specified date  
16,1.0," Very slow. From Bangkok, it takes almost 4 days to deliver. If it's fish, it's marinated until it's salty. …"
17,1.0," The worst, the worst, the delivery does not reach the customer's hand. Thomas came only for 4 seconds. and leave it to someone else Then Master tells us one more time. claiming that we can't contact us and hurry back …"
18,1.0, Rattaphum Branch  
19,1.0," The service is very bad, the staff sign their own but do not receive the item. …"
20,1.0," Rama 4 branch, why do you keep stuff? Why didn't you send it and tell me the wrong address, some wrong phone number? The status check is up but I can't contact the recipient. What is it? I'm waiting for items. Hurry …"
21,2.0, Order online from the shop and deliver with this company. I encountered the problem of failing to send all 4 rounds. It's very bad. Very slow. I don't understand how to fail. …
22,1.0," Very bad, hit things back, didn't say a word.  "
23,1.0," Waiting for the parcel for a long time, the staff said the car was broken, so they didn't come to deliver the items on the scheduled day and wait for the next day delivery like this? Is there only one sender? …"
24,1.0, Paid but didn't get the product and the staff came in to pick up the items in the house and left. …
25,1.0," It's a very poor management company. The delivery worker is very tired and tired. Only a few baht per piece. If you have a holiday, you can't stop. You get broken. No reason. Telling the reason is like sending it to a …"
26,1.0," Tell me that the parcel has been delivered. Where did you send it to, you signed the parcel yourself or you dropped the parcel, I don't know what the fuck …"
27,1.0, Very slow delivery 
29,1.0," Sent by a pod. That pan. That's good news that it's growing 3 times. Spit. I recommend you to go to work with other camps. Kerry, JT, etc., come to Khon Kaen. He never exceeds 3 times. Jak An. There is only this camp. …"
31,1.0, very bad  
32,1.0," Really bad. Management is very bad. Items have arrived for 3 days. Still haven't received the item. Check the status. Can't contact the recipient. Which way do you contact? Mail or telegram, always carry phone because …"
34,1.0," Very slow delivery, status information is not updated at all. …"
35,1.0," SHNV085531120 The customer is waiting for the parcel at home all day. Checking the parcel, it says that the customer has changed the delivery date and time. The person who is waiting is waiting for the transport staff …"
37,1.0, Slowly  
38,1.0," It's been a week and I still haven't been able to. Check the parcel number, there is no movement at all. There is nothing that can be contacted to help at all. It's really the worst of the transportation system. …"
39,1.0," Very late, made an appointment today.  "
40,1.0, Sucks. Slow delivery. Pickled items. No delivery. I do not recommend using this transportation service. It's a waste of time. Stop using the name Ninja. It's not appropriate. Changing to a logistic turtle should be …
42,1.0, The parcel was unpacked.  
43,4.0, nice big warehouse  
44,1.0," Pickled items are very good, don't send items, don't call, the latest we ordered has been bounced back to the sender to wait for 7 days. Very bad. …"
45,3.0, There is a subsidiary in Kasetsomboon District. Chaiyaphum Province? …
46,1.0," The product came in unpacked the box and it looked broken. The ordered item was not exactly the same, it was enough to see that the product was broken again. …"
47,1.0, Not able to deliver but claiming to be unable to call the recipient even though there is no incoming call …
48,5.0, Bangchak Branch. Products are delivered very quickly. Polite staff. Call to inform before coming to deliver. …
49,1.0," The delivery staff did not arrive, did not contact the customer, did not come back again. Better to close the company …"
51,1.0, ninj van Kabinburi has not been contacted yet. The status says that the delivery was unsuccessful due to the customer requesting to adjust the delivery time. what is it …
52,1.0, Parcels are being processed at the Ninja Van Warehouse - Ninja Van Sorting Facility. …
54,1.0, Shipping is very slow. Calling to ask is not clear. Wait for 7 days. …
55,1.0," Too bad, too long, ineffective irresponsible Items have been left at the branch for a long time. Since ordering online from this company the worst All necessary items are missing 😡😡😡 …"
56,1.0, Does this company like pickles? How long is it from Bang Phli? Go to Thung Khru …
57,1.0, Very bad. I've been waiting for items in Bangkok for 5 days. relayed all the time I can only say that the coordination for 1-2 days is the same. The part of the postponement is delivered on a day to day basis. …
58,1.0," Very slow delivery, it will be ruined soon  "
59,1.0," I'll tell you Cancellation notification, did not receive the product for 2 rounds to return the sender …"
60,1.0," Very slow, send it, don't call Items can't be lost in the night. It's so bad. It's the worst logistics I've ever seen. …"
61,1.0," Ordered for a week and still haven't received it yet, bad, bad, bad. …"
62,1.0, Very poor delivery I don't know how many calls did not come according to his own appointment And do not call to tell wait a day Do not use it no responsibility …
63,1.0, very slow delivery will preserve the product for  
64,1.0," Delivery origin on 21 July 64 There are 5 boxes of items. When they arrive at the destination, there are 4 boxes of items. Items arrive at the destination. 24 July 64 …"
65,1.0," Very slow delivery, no calls at all, slow service  "
66,1.0," It's a very bad transport. There was another branch called to inform that the item would come at 1pm, but it didn't come. The next day, I called back to the same number and told the different branch responsible for …"
67,1.0," Item arrived quickly but the service provider is very bad. Come to send, do not call in advance, arrive at the house and then call Said that he wasn't at home, but his daughter lived and didn't leave the money for the …"
68,1.0," Very bad service, ordering a lot of things, can't really find this company. Slow delivery Called to make an appointment but didn't come and let us wait. …"
69,5.0," Fast delivery, 3 days to arrive. very good transport At first, I thought I wouldn't be able to get items anymore because I saw all the negative reviews. …"
70,3.0,Edit: 23/07/2021  บริการดีขึ้นและส่งของตรงเวลาค่ะ …
71,2.0," Very slow delivery, called and said they would deliver. Ask where the address is. In the end, he didn't come, didn't call, and was also postponed in the system that the customer informed the postponement of the …"
72,1.0, Rama 4 branch. Very bad. Sent many times delayed. Follow until you don't know how to follow. Not responsible. …
73,1.0," Very slow delivery, said that I pressed the wrong button, but really refused to deliver that day. will be delivered the next day The next day still hasn't arrived "
74,2.0, Drive to the parking lot and shout out of the car that you've come to deliver me...... and let the recipient walk to pick up the goods and pay the car Is this a delivery service? …
75,3.0," Very slow, withdraw from the shop. Random delivery. Meet the nemesis ninja. Sending items to adults is much slower than other transports. 😒🙄😤👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎 …"
76,1.0, I was informed that the item had been received for 2 days. have not received Tell the wrong address even though the address is the same address Wasting time waiting …
77,1.0," Slow delivery, wait until you're discouraged  "
78,1.0, Is not sending the rate for 1-2 days and then came to say that he could not be contacted even though he was waiting to receive it and then suddenly returned to the store that did not inform us at all .. very bad …
80,1.0, The parcel arrived at the destination. The status of delivery. 7 days have passed and still haven't received the item. and then there is a …
81,1.0, Secondary items have been here for several days and have not arrived yet. There is a notification that the item will be delivered on the 12th. This is the 14th day and still haven't contacted me. The delivery is very …
82,1.0, Very bad. Pickled. Very good stuff. Don't call the child and say that he can't contact the child. Transport. Arrange delivery for customers from 12 to 14 and still haven't got it. …
83,1.0," Received this item from this transport twice. The delivery man spoke harshly both times. Call and ask for directions, not local people, don't know where this address is, there is no alley. Ask Tring why other …"
85,1.0," The delivery of this item occurred from the fact that I ordered the product through an online store, which the company shop was. Partner with Ninja Transportation. The delivery of the goods I ordered took a very long …"
86,1.0," The parcel called to say that it will be delivered by Thursday when the office is closed. We asked to postpone Friday and the status is up for sure that it's really Friday. But in the end, I waited all day, so I …"
87,1.0," Made a purchase from Shopee, got hit back for the 1st time saying that the recipient could not be contacted even though he had not received a call from the staff at all. And call the Call center the second time will …"
88,1.0," Sent the item successfully. But who is the recipient, I don't know. signed our name Ours is not important in it is baby milk powder. Let's eat rice first, baby. Because that's the money that I have saved to stock up …"
89,1.0," Check the parcel, the status says "
91,1.0, The parcel arrived at the destination. The status of delivery. 3 days have passed and still have not received the item. …
92,1.0, I can postpone the delivery. Boring. I haven't sent it yet. Is there any responsibility? …
93,1.0," Ordered the product on 27 May. July 64 in the system, it says received the parcel successfully. Waited from 28 until the 2nd day. Still haven't arrived. Bangkok-Prachuap, how long will it take? Other companies just …"
