,index,rating,caption,middle,reviews
0,1,1.0,(Translated by Google) Very slow delivery Long-standing warehouse  (Original) …, Very slow delivery Long-standing warehouse  (Original, Very slow delivery Long-standing warehouse  
1,3,1.0,"(Translated by Google) delivery man The form hasn't shipped yet, but the work is closed. Sign in that the customer receives the item. even though I haven't received this Calling can not be contacted. What is it? The service is very bad. …"," delivery man The form hasn't shipped yet, but the work is closed. Sign in that the customer receives the item. even though I haven't received this Calling can not be contacted. What is it? The service is very bad. …"," delivery man The form hasn't shipped yet, but the work is closed. Sign in that the customer receives the item. even though I haven't received this Calling can not be contacted. What is it? The service is very bad. …"
2,4,5.0,"(Translated by Google) Very good service, friendly to the people 👏🏻👏🏻👏🏻👏🏻 …"," Very good service, friendly to the people 👏🏻👏🏻👏🏻👏🏻 …"," Very good service, friendly to the people 👏🏻👏🏻👏🏻👏🏻 …"
3,5,1.0,เราส่งของตั้งแต่วันที่14/02/65จน24/02/65ก็ยังไม่ใด้รับไ.ม่มีการโทรหาหรือตีกลับไดๆหายเข้ากลีบเมฆไปเลยแย่สุดๆคือพนักงานคีระบบผิดพลาดรหัสผิดไม่รับผิดชอบไดๆไม่โทรหาไดๆทั้งสิ้น สส,,เราส่งของตั้งแต่วันที่14/02/65จน24/02/65ก็ยังไม่ใด้รับไ.ม่มีการโทรหาหรือตีกลับไดๆหายเข้ากลีบเมฆไปเลยแย่สุดๆคือพนักงานคีระบบผิดพลาดรหัสผิดไม่รับผิดชอบไดๆไม่โทรหาไดๆทั้งสิ้น สส
4,6,1.0,(Translated by Google) The delivery person is very bad habit. Order the total amount. The total amount is only 409 baht. But the sender thinks 509? How much? You shouldn't be a delivery person. It's ugly. Don't act as a delivery person. …, The delivery person is very bad habit. Order the total amount. The total amount is only 409 baht. But the sender thinks 509? How much? You shouldn't be a delivery person. It's ugly. Don't act as a delivery person. …, The delivery person is very bad habit. Order the total amount. The total amount is only 409 baht. But the sender thinks 509? How much? You shouldn't be a delivery person. It's ugly. Don't act as a delivery person. …
5,8,1.0,"(Translated by Google) The service fee is very expensive. very light water box The size of the box is as small as an ant. It's 65 baht. Other places don't exceed 30 baht. It's a lot and the profit is unreasonable. That time, the screen …"," The service fee is very expensive. very light water box The size of the box is as small as an ant. It's 65 baht. Other places don't exceed 30 baht. It's a lot and the profit is unreasonable. That time, the screen …"," The service fee is very expensive. very light water box The size of the box is as small as an ant. It's 65 baht. Other places don't exceed 30 baht. It's a lot and the profit is unreasonable. That time, the screen …"
6,10,1.0,"(Translated by Google) Kerry, why can't I check the parcel and tell the recipient to contact me? even though no one called Mine has been sent for the 3rd round. I ordered from the 4th of Feb. …"," Kerry, why can't I check the parcel and tell the recipient to contact me? even though no one called Mine has been sent for the 3rd round. I ordered from the 4th of Feb. …"," Kerry, why can't I check the parcel and tell the recipient to contact me? even though no one called Mine has been sent for the 3rd round. I ordered from the 4th of Feb. …"
7,11,1.0,"(Translated by Google) The parcel arrived broken, almost every box, as if intentionally like this, I can't take it. …"," The parcel arrived broken, almost every box, as if intentionally like this, I can't take it. …"," The parcel arrived broken, almost every box, as if intentionally like this, I can't take it. …"
8,12,1.0,"(Translated by Google) The incident happened just a moment ago, a Kerry employee came to send Pampers. We are adopting a child, the mother of the child transferred the money to me yesterday. When this employee came to send me, he acted in a …"," The incident happened just a moment ago, a Kerry employee came to send Pampers. We are adopting a child, the mother of the child transferred the money to me yesterday. When this employee came to send me, he acted in a …"," The incident happened just a moment ago, a Kerry employee came to send Pampers. We are adopting a child, the mother of the child transferred the money to me yesterday. When this employee came to send me, he acted in a …"
9,13,1.0,"(Translated by Google) If the destination is not collected, it will be very slow. Waiting to pick up since morning, still haven't arrived. But online check is riding a motorcycle. We are trying to pay the expensive shipping fee, it's very …"," If the destination is not collected, it will be very slow. Waiting to pick up since morning, still haven't arrived. But online check is riding a motorcycle. We are trying to pay the expensive shipping fee, it's very …"," If the destination is not collected, it will be very slow. Waiting to pick up since morning, still haven't arrived. But online check is riding a motorcycle. We are trying to pay the expensive shipping fee, it's very …"
10,14,1.0,"(Translated by Google) Why is Kerry so bad? A friend sent the item from 7 Jan. The product will arrive on Jan 10, but now Jan 12, the item hasn't been received yet. Called to check and was told that the address was written wrong. But really …"," Why is Kerry so bad? A friend sent the item from 7 Jan. The product will arrive on Jan 10, but now Jan 12, the item hasn't been received yet. Called to check and was told that the address was written wrong. But really …"," Why is Kerry so bad? A friend sent the item from 7 Jan. The product will arrive on Jan 10, but now Jan 12, the item hasn't been received yet. Called to check and was told that the address was written wrong. But really …"
11,15,5.0,Quiet and quality coffee.,,Quiet and quality coffee.
12,16,1.0,"(Translated by Google) Lat Krabang area, delivery is very slow, can't compete with other transport, the management is so weak!!!! …"," Lat Krabang area, delivery is very slow, can't compete with other transport, the management is so weak!!!! …"," Lat Krabang area, delivery is very slow, can't compete with other transport, the management is so weak!!!! …"
13,18,4.0,"(Translated by Google) Can be used to a certain extent, easy to park, not many people, wide, clean, the staff is okay. …"," Can be used to a certain extent, easy to park, not many people, wide, clean, the staff is okay. …"," Can be used to a certain extent, easy to park, not many people, wide, clean, the staff is okay. …"
14,19,1.0,"(Translated by Google) Kerry Khao Chamao Branch doesn't speak well. Go pick up items at the branch where no one is interested in customers even though there are many people living together. When I go to pick up the stuff, I say that the …"," Kerry Khao Chamao Branch doesn't speak well. Go pick up items at the branch where no one is interested in customers even though there are many people living together. When I go to pick up the stuff, I say that the …"," Kerry Khao Chamao Branch doesn't speak well. Go pick up items at the branch where no one is interested in customers even though there are many people living together. When I go to pick up the stuff, I say that the …"
15,20,1.0,"(Translated by Google) Very bad, Khao Chamao Branch, Rayong Province, we went to pick up the stuff. At the branch, employees are not interested. But call us to pick up the stuff. When we don't know where the stuff is, we tell them to send …"," Very bad, Khao Chamao Branch, Rayong Province, we went to pick up the stuff. At the branch, employees are not interested. But call us to pick up the stuff. When we don't know where the stuff is, we tell them to send …"," Very bad, Khao Chamao Branch, Rayong Province, we went to pick up the stuff. At the branch, employees are not interested. But call us to pick up the stuff. When we don't know where the stuff is, we tell them to send …"
16,22,1.0,"(Translated by Google) Don't do this job. Kerry had no map accuracy at all. Always come to deliver products, come in hundreds of times, but have to call and ask for directions every time, every three or four times …"," Don't do this job. Kerry had no map accuracy at all. Always come to deliver products, come in hundreds of times, but have to call and ask for directions every time, every three or four times …"," Don't do this job. Kerry had no map accuracy at all. Always come to deliver products, come in hundreds of times, but have to call and ask for directions every time, every three or four times …"
17,23,1.0,"(Translated by Google) Jingko doesn't want stars, if they don't give, they can't review anymore. If the item hasn't arrived yet, the customer doesn't have to call and waste time waiting. When calling, the items will be delivered to you to …"," Jingko doesn't want stars, if they don't give, they can't review anymore. If the item hasn't arrived yet, the customer doesn't have to call and waste time waiting. When calling, the items will be delivered to you to …"," Jingko doesn't want stars, if they don't give, they can't review anymore. If the item hasn't arrived yet, the customer doesn't have to call and waste time waiting. When calling, the items will be delivered to you to …"
18,24,3.0,(Translated by Google) wait so long  (Original) รอนานมาก, wait so long  (Original, wait so long  
