id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSURXenNLLXJBRRAB,(Translated by Google) SHNV354186377 send it to someone you don't know has been signed Where is my stuff? No repeat calls 24-3-65 …,a week ago,2022-04-01 21:09:11.122680,1.0,plasma 33,0,0,https://www.google.com/maps/contrib/105954017499525699130/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURXM0tubVZBEAE,"(Translated by Google) The delivery man talks badly, the service is not good. Very bad 👎👎👎 …",2 weeks ago,2022-04-01 21:09:11.124292,1.0,อริษา ทองศรี,0,0,https://www.google.com/maps/contrib/112299428684842585615/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURXaExudDhBRRAB,(Translated by Google) Thank you very much  (Original) ขอบคุณมากคับ,2 weeks ago,2022-04-01 21:09:11.125890,5.0,Anuruk Ampaparsit,0,0,https://www.google.com/maps/contrib/101970386177989030043/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNXM3I3ZzNBRRAB,,a month ago,2022-04-01 21:09:11.127390,1.0,Khaotip Boontanorm,0,0,https://www.google.com/maps/contrib/104451733525572259904/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNXbXI2YzhnRRAB,Always wrong delivery!!!  How do you even train your staff? How could you even deliver wrong address every time????? Please train your worker!!!!!!!!,a month ago,2022-04-01 21:09:11.129621,1.0,Ekarat A.,0,0,https://www.google.com/maps/contrib/103228639922189738007/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNXaU5XMWxnRRAB,(Translated by Google) The delivery man is very bad. It's the worst transport.  (Original) …,a month ago,2022-04-01 21:09:11.131149,1.0,PuiPui PuiPui,0,0,https://www.google.com/maps/contrib/102012349398993106054/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNXNEt1SjNRRRAB,(Translated by Google) Please call the recipient and send it to the recipient's hand. …,a month ago,2022-04-01 21:09:11.132855,1.0,สารสนเทศวิทยาลัยเกษตรและเทคโนโลยีพิจิตร พิจิตร,0,0,https://www.google.com/maps/contrib/108625726457431178682/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURtdDdqbkd3EAE,"(Translated by Google) I don't know what other people's are, but mine, 1 day, received items. Very fast delivery. …",a month ago,2022-04-01 21:09:11.134760,5.0,Hell Boy,0,0,https://www.google.com/maps/contrib/111367859555350311301/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURtaTZlZzhRRRAB,(Translated by Google) Where do  (Original) ไม่รู้อยู่ไหน,a month ago,2022-04-01 21:09:11.136367,1.0,daeng ณัฐพร,0,0,https://www.google.com/maps/contrib/117186070296751046726/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURtNmJ2dGNnEAE,"(Translated by Google) At first the app said it was shipping. Call the center to ask and tell them it's in the warehouse. After a while, I called to say that I will send it to you today 2/2/65 A few minutes passed. say send failed Allow …",a month ago,2022-04-01 21:09:11.138031,1.0,ชนัญชิดา จิตรีแดน,0,0,https://www.google.com/maps/contrib/113638029506926331186/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNtOWZPTkZREAE,(Translated by Google) It's been in Rattanathibet for a long time. will claim to open the new year But others can send it. Can you add staff? will be able to do more efficiently …,2 months ago,2022-04-01 21:09:11.139565,1.0,Boom Ratii,0,0,https://www.google.com/maps/contrib/108057954017592424635/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNtOGVHaW93RRAB,(Translated by Google) Delivered more than 2 days ago and still haven't received it. …,3 months ago,2022-04-01 21:09:11.141156,1.0,Pejung,0,0,https://www.google.com/maps/contrib/116582781843581521115/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNtNGQ2cERnEAE,,3 months ago,2022-04-01 21:09:11.142711,1.0,อภิรักษ์ ปลอดภิญโญ,0,0,https://www.google.com/maps/contrib/100721881043967077140/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNtaXN6Nlp3EAE,"I don’t like this ninja Van company delivery staff…. The staff should have common sense that the item is heavy or not… if the item is heavy, they need to put on the floor. Not inside the small basket… my small basket is already crooked, …",3 months ago,2022-04-01 21:09:11.144156,1.0,mickey huang,0,0,https://www.google.com/maps/contrib/115639542661827661808/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNtbE5LMFN3EAE,Worst company I have dealt with.  delay in delivery.  Difficulty communicating with support,3 months ago,2022-04-01 21:09:11.145753,1.0,Mazin Tohsamae,0,0,https://www.google.com/maps/contrib/107490127744385454672/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNtNk9hLW5nRRAB,(Translated by Google) .2 This item is from another seller...just the wrong postcode...but only delivered to..Ninja..I just bounced back..... …,3 months ago,2022-04-01 21:09:11.147489,1.0,โฟล์คซี่ แชเเนล,0,0,https://www.google.com/maps/contrib/111638354026748921542/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURHNVpXV1JnEAE,,3 months ago,2022-04-01 21:09:11.149233,5.0,jirapa arreeua,0,0,https://www.google.com/maps/contrib/111214625328447347512/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURHeWFtRFB3EAE,(Translated by Google) send past the specified date  (Original) ส่งเลยวันที่กำหนด,3 months ago,2022-04-01 21:09:11.150774,1.0,34 444 Chanawat Palawechkit,0,0,https://www.google.com/maps/contrib/110172789304524786256/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURHMGJ2N2R3EAE,"(Translated by Google) Very slow. From Bangkok, it takes almost 4 days to deliver. If it's fish, it's marinated until it's salty. …",4 months ago,2022-04-01 21:09:11.152523,1.0,อุไรวรรณ รัตนสีหา,0,0,https://www.google.com/maps/contrib/112455843455921030293/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURHcXZqTnBBRRAB,"(Translated by Google) The worst, the worst, the delivery does not reach the customer's hand. Thomas came only for 4 seconds. and leave it to someone else Then Master tells us one more time. claiming that we can't contact us and hurry back …",4 months ago,2022-04-01 21:09:11.154236,1.0,areewan semarenu,0,0,https://www.google.com/maps/contrib/117615997828964428012/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURHb3Rqa213RRAB,(Translated by Google) Rattaphum Branch  (Original) สาขารัตภูมิ,4 months ago,2022-04-01 21:09:17.420303,1.0,เฉลิมรัฐ นิ่มเส้ง,0,0,https://www.google.com/maps/contrib/104772956969380387511/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURHb29qOV9nRRAB,"(Translated by Google) The service is very bad, the staff sign their own but do not receive the item. …",4 months ago,2022-04-01 21:09:17.421898,1.0,saeksanb paungnak,0,0,https://www.google.com/maps/contrib/107663878271560898750/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURHaE9PNXlRRRAB,"(Translated by Google) Rama 4 branch, why do you keep stuff? Why didn't you send it and tell me the wrong address, some wrong phone number? The status check is up but I can't contact the recipient. What is it? I'm waiting for items. Hurry …",4 months ago,2022-04-01 21:09:17.423627,1.0,Phaiwan Wisetkaew,0,0,https://www.google.com/maps/contrib/115053354477691460211/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURHbUl2dDRBRRAB,(Translated by Google) Order online from the shop and deliver with this company. I encountered the problem of failing to send all 4 rounds. It's very bad. Very slow. I don't understand how to fail. …,4 months ago,2022-04-01 21:09:17.425381,2.0,Pakkad S. Rongmuang,0,0,https://www.google.com/maps/contrib/102157531287437079535/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNHcjRXdm1nRRAB,"(Translated by Google) Very bad, hit things back, didn't say a word.  (Original) กากมาก ตีของกลับ ไม่บอกซักคำ",4 months ago,2022-04-01 21:09:17.427165,1.0,Johnny November,0,0,https://www.google.com/maps/contrib/103804732368492285376/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNHb19uNWF3EAE,"(Translated by Google) Waiting for the parcel for a long time, the staff said the car was broken, so they didn't come to deliver the items on the scheduled day and wait for the next day delivery like this? Is there only one sender? …",4 months ago,2022-04-01 21:09:17.429579,1.0,Kanuengnit Thongnin,0,0,https://www.google.com/maps/contrib/118088537346360225794/reviews?hl=en-US
